Country Name;Country Code;;Population (in millions);GDP per capita, PPP (current international $) [2023];Individuals using the Internet (% of population) [2023];InternetCost_BroadbandCostPerMonth_USD_2024;Starlink Available;Starlink Price
Turkiye;TUR;EUR;85,33;42326,16;86,00;#N/A;no data;56
Albania;ALB;EUR;2,746;21263,20;83,10;18,32;yes;75
Argentina;ARG;SAm;45,54;30082,30;89,20;5,17;yes;47
Australia;AUS;OCE;26,66;70497,15;97,10;52,21;yes;90
Austria;AUT;EUR;9,132;70478,79;95,30;32,67;yes;57
Barbados;BRB;NAm;0,282;21336,16;80,00;86,44;yes;55
Belgium;BEL;EUR;11,79;69072,83;94,60;58,4;yes;57
Benin;BEN;AFR;14,11;4129,98;32,20;55,11;yes;56
Botswana;BWA;AFR;2,48;20916,40;81,40;68,92;yes;51
Brazil;BRA;SAm;211,1;21107,28;84,20;21,18;yes;42
Bulgaria;BGR;EUR;6,447;37507,77;80,40;10,47;yes;55
Canada;CAN;NAm;40,1;63524,70;94,00;58,26;yes;102
Chile;CHL;SAm;19,66;32802,87;94,50;21,86;yes;50
Colombia;COL;SAm;52,32;20784,50;77,30;20,47;yes;60
Costa Rica;CRI;NAm;5,106;28075,14;85,40;46,27;yes;45
Croatia;HRV;EUR;3,86;45602,96;83,20;21,94;yes;57
Cyprus;CYP;EUR;1,345;57213,82;91,20;42,82;yes;57
Denmark;DNK;EUR;5,947;73737,45;98,80;38,19;yes;57
Dominican Republic;DOM;NAm;11,33;25624,01;84,60;33,51;yes;49
Ecuador;ECU;SAm;17,98;16062,02;72,70;31,42;yes;45
El Salvador;SLV;SAm;6,31;12657,03;67,70;43,36;yes;59
Estonia;EST;EUR;1,37;46790,27;93,20;31,21;yes;57
Eswatini;SWZ;AFR;1,231;11245,15;57,60;15,9;yes;53
Finland;FIN;EUR;5,584;61734,46;93,50;38,15;yes;57
France;FRA;EUR;68,29;58317,83;86,80;33,16;yes;57
Georgia;GEO;EUR;3,715;25071,97;81,90;14,21;yes;58
Germany;DEU;EUR;83,28;69205,88;92,50;36,14;yes;57
Ghana;GHA;AFR;33,79;7543,03;69,90;57,65;yes;75
Greece;GRC;EUR;10,41;41181,99;85,00;34,86;yes;57
Honduras;HND;NAm;10,64;7178,81;58,30;58;yes;46
Hungary;HUN;EUR;9,592;45021,30;91,50;20,01;yes;48
Indonesia;IDN;ASI;281,2;15415,61;69,20;28,05;yes;46
Ireland;IRL;EUR;5,308;124900,94;96,50;42,8;yes;57
Italy;ITA;EUR;58,99;57801,37;87,00;30,97;yes;57
Jamaica;JAM;NAm;2,84;11421,75;83,40;48,11;yes;44
Japan;JPN;ASI;124,5;49793,94;87,00;38,27;yes;45
Kenya;KEN;AFR;55,34;6307,23;35,00;47,73;yes;50
Latvia;LVA;EUR;1,877;41491,51;92,20;16,59;yes;57
Lithuania;LTU;EUR;2,872;50914,86;88,50;16,94;yes;57
Luxembourg;LUX;EUR;0,666;139466,40;99,30;52,93;yes;57
Madagascar;MDG;AFR;31,2;1823,82;20,40;56,31;yes;50
Malaysia;MYS;ASI;35,13;36416,54;97,70;31,44;yes;52
Maldives;MDV;ASI;0,52;24735,08;84,70;75,58;yes;65
Malta;MLT;EUR;0,55;63419,82;92,10;27,01;yes;57
Mexico;MEX;NAm;129,7;24789,68;81,20;32,35;yes;65
Moldova;MDA;EUR;2,458;17596,88;80,20;9,19;yes;67
Mongolia;MNG;ASI;3,481;18004,85;83,00;12,55;yes;62
Mozambique;MOZ;AFR;33,64;1677,68;19,80;118,26;yes;47
Netherlands;NLD;EUR;17,88;78305,29;97,00;46,81;yes;57
New Zealand;NZL;OCE;5,223;53440,13;96,20;48,6;yes;96
Nigeria;NGA;AFR;227,9;6207,42;39,20;21,89;yes;37
North Macedonia;MKD;EUR;1,828;24390,49;87,20;15,56;yes;69
Norway;NOR;EUR;5,52;100928,35;99,00;80,18;yes;57
Panama;PAN;NAm;4,459;39803,32;78,00;37,67;yes;55
Paraguay;PRY;SAm;6,844;17516,80;78,10;21,44;yes;41
Peru;PER;SAm;33,85;16974,24;79,50;24,86;yes;47
Philippines;PHL;ASI;114,9;10988,63;83,80;35,55;yes;68
Poland;POL;EUR;36,69;46570,47;86,40;17,71;yes;57
Portugal;PRT;EUR;10,58;47331,10;85,80;32,1;yes;57
Romania;ROU;EUR;19,06;45777,04;89,20;8,6;yes;52
Rwanda;RWA;AFR;13,95;3396,16;34,20;43,22;yes;42
Samoa;WSM;OCE;0,2;6996,84;58,10;133,53;yes;51
Sierra Leone;SLE;AFR;8,461;3367,51;20,60;75,8;yes;47
Slovenia;SVN;EUR;2,12;53952,20;90,40;40,29;yes;57
Solomon Islands;SLB;OCE;0,8;2812,38;42,50;457,84;yes;50
Spain;ESP;EUR;48,35;53229,92;95,40;31,99;yes;57
Sweden;SWE;EUR;10,54;67198,02;95,70;34,05;yes;57
Switzerland;CHE;EUR;8,888;89546,28;97,30;68,38;yes;60
Timor-Leste;TLS;AFR;1,384;4803,97;34,00;107,33;yes;50
Trinidad and Tobago;TTO;NAm;1,511;35188,53;84,70;66,53;yes;54
Ukraine;UKR;EUR;37,73;17630,13;82,40;7,35;yes;75
United Kingdom;GBR;EUR;68,35;58225,13;96,30;38,79;yes;101
United States;USA;NAm;340,1;82769,41;93,10;65;yes;120
Uruguay;URY;SAm;3,388;34426,60;89,90;55,35;yes;46
Vanuatu;VUT;OCE;0,32;3460,93;45,70;94,44;yes;47
Zambia;ZMB;AFR;20,72;4077,00;33,00;44,36;yes;47
Zimbabwe;ZWE;AFR;16,34;3820,36;38,40;9,64;yes;50